,ndoi,smscg,tide
1/1/1923,29116.34118,1,6.843799591
1/2/1923,28944.86599,1,7.281499863
1/3/1923,28767.85217,1,7.422100067
1/4/1923,28585.80518,1,7.27820015
1/5/1923,28399.23053,1,6.907500267
1/6/1923,28208.6337,1,6.224500179
1/7/1923,28014.52017,1,5.434899807
1/8/1923,27817.39543,1,5.094099998
1/9/1923,27617.76496,1,4.697799683
1/10/1923,27416.13425,1,4.860699654
1/11/1923,27213.00879,1,5.658400059
1/12/1923,27008.89407,1,6.408800125
1/13/1923,26804.29556,1,7.018599987
1/14/1923,26599.71876,1,7.391200066
1/15/1923,26395.66914,1,7.476399899
1/16/1923,26188.9579,1,7.470299721
1/17/1923,25958.4373,1,7.191900253
1/18/1923,25702.22867,1,6.635100365
1/19/1923,25422.20462,1,5.955600262
1/20/1923,25120.23773,1,5.102900028
1/21/1923,24798.20062,1,4.48239994
1/22/1923,24457.96588,1,3.985199928
1/23/1923,24101.4061,1,3.481600285
1/24/1923,23730.3939,1,3.256800175
1/25/1923,23346.80187,1,3.681099892
1/26/1923,22952.5026,1,4.263799667
1/27/1923,22549.3687,1,4.936399937
1/28/1923,22139.27277,1,5.610999584
1/29/1923,21724.08741,1,6.217899799
1/30/1923,21305.68522,1,6.906899929
1/31/1923,20885.93879,1,7.299900055
2/1/1923,20466.72072,1,7.426499844
2/2/1923,20049.90363,1,7.217000008
2/3/1923,19637.36009,1,6.685400009
2/4/1923,19230.96273,1,5.862100124
2/5/1923,18832.58412,1,5.37650013
2/6/1923,18444.09688,1,4.90170002
2/7/1923,18067.3736,1,5.018700123
2/8/1923,17704.28689,1,5.289399624
2/9/1923,17356.70934,1,5.68900013
2/10/1923,17026.51355,1,6.075700283
2/11/1923,16715.57212,1,6.387700081
2/12/1923,16425.75765,1,6.545800209
2/13/1923,16158.94275,1,6.64070034
2/14/1923,15917,1,6.577199936
2/15/1923,15686.5116,1,6.274400234
2/16/1923,15453.31865,1,5.783099651
2/17/1923,15218.18211,1,5.178100109
2/18/1923,14981.86294,1,4.518400192
2/19/1923,14745.12212,1,4.041699886
2/20/1923,14508.72061,1,3.625799656
2/21/1923,14273.41938,1,3.553700209
2/22/1923,14039.97938,1,3.564399958
2/23/1923,13809.1616,1,3.743400097
2/24/1923,13581.72698,1,4.077899933
2/25/1923,13358.43651,1,4.601500034
2/26/1923,13140.05114,1,5.260900021
2/27/1923,12927.33185,1,5.926199913
2/28/1923,12721.03959,1,6.427999973
3/1/1923,12521.93533,1,6.827500343
3/2/1923,12330.78004,1,6.837999821
3/3/1923,12148.33469,1,6.47510004
3/4/1923,11975.36024,1,5.960700035
3/5/1923,11812.61766,1,5.547500134
3/6/1923,11660.86791,1,5.680199623
3/7/1923,11520.87196,1,5.711599827
3/8/1923,11393.39077,1,5.65350008
3/9/1923,11279.18531,1,5.515199661
3/10/1923,11179.01655,1,5.403800011
3/11/1923,11093.64546,1,5.383999825
3/12/1923,11023.83299,1,5.453699589
3/13/1923,10970.34012,1,5.540899754
3/14/1923,10933.9278,1,5.527500153
3/15/1923,10915.35702,1,5.403400421
3/16/1923,10926.7739,1,5.119299889
3/17/1923,11034.22552,1,4.64040041
3/18/1923,11242.12766,1,4.33769989
3/19/1923,11543.17483,1,4.252299786
3/20/1923,11930.06154,1,4.416500092
3/21/1923,12395.48229,1,4.344600201
3/22/1923,12932.1316,1,4.317800045
3/23/1923,13532.70396,1,4.158200264
3/24/1923,14189.89389,1,4.10160017
3/25/1923,14896.3959,1,4.149199963
3/26/1923,15644.90449,1,4.377500057
3/27/1923,16428.11417,1,4.783900261
3/28/1923,17238.71944,1,5.282599926
3/29/1923,18069.41482,1,5.660599709
3/30/1923,18912.89481,1,5.771199703
3/31/1923,19761.85393,1,5.893199921
4/1/1923,20608.98666,1,6.052800179
4/2/1923,21446.98754,1,6.554599762
4/3/1923,22268.55105,1,6.606900215
4/4/1923,23066.37171,1,6.856699944
4/5/1923,23833.14403,1,6.568000317
4/6/1923,24561.56252,1,6.034500122
4/7/1923,25244.32167,1,5.46930027
4/8/1923,25874.11601,1,5.018199921
4/9/1923,26443.64003,1,4.702000141
4/10/1923,26945.58825,1,4.686999798
4/11/1923,27372.65516,1,4.642799854
4/12/1923,27717.53529,1,4.684400082
4/13/1923,27972.92313,1,4.477899551
4/14/1923,28131.5132,1,4.564599991
4/15/1923,28186,1,4.863299847
4/16/1923,28168.4189,1,5.061000347
4/17/1923,28116.7431,1,5.257800102
4/18/1923,28032.5739,1,5.163899899
4/19/1923,27917.51256,1,5.258999825
4/20/1923,27773.16038,1,5.142699718
4/21/1923,27601.11863,1,4.885900021
4/22/1923,27402.9886,1,4.609300137
4/23/1923,27180.37155,1,4.41920042
4/24/1923,26934.86878,1,4.35890007
4/25/1923,26668.08156,1,4.631799698
4/26/1923,26381.61118,1,4.948599815
4/27/1923,26077.05891,1,5.346099854
4/28/1923,25756.02603,1,5.556299686
4/29/1923,25420.11384,1,6.479199886
4/30/1923,25070.92359,1,7.224699974
5/1/1923,24710.05658,1,7.614200115
5/2/1923,24339.11409,1,7.604000092
5/3/1923,23959.6974,1,7.530200005
5/4/1923,23573.40778,1,7.081699848
5/5/1923,23181.84652,1,6.338899612
5/6/1923,22786.6149,1,5.487099648
5/7/1923,22389.3142,1,4.84319973
5/8/1923,21991.5457,1,4.694700241
